ASN,Name,RPKI,Total,%
AS10181,(사)한국선급,0,5,0.0
AS10034,서울특별시농수산식품공사,0,5,0.0
AS23555,주식회사 신한은행,0,5,0.0
AS9766,신한라이프생명보험 주식회사,0,5,0.0
AS9575,(주)케이씨티시,0,5,0.0
AS23574,키스자산평가(주),0,5,0.0
AS10039,한국보건산업진흥원,0,5,0.0
AS9690,주식회사스마트로,0,5,0.0
AS17602,크레텍책임 주식회사,0,5,0.0
AS38436,(주)하나금융티아이 전자문서센터,0,5,0.0
AS45995,에스케이 플래닛(주),0,5,0.0
AS38087,주식회사 부산은행,0,5,0.0
AS18333,한국농수산식품유통공사,0,5,0.0
AS10188,러슬러채드윅파원데이션 채드윅송도국제학교,0,5,0.0
AS18322,금호타이어(주),0,5,0.0
AS9979,한화자산운용,0,5,0.0
AS9458,대한지방행정공제회,0,5,0.0
AS23585,법무부,0,5,0.0
AS55591,한국교육과정평가원,0,5,0.0
AS131820,에이치엠엠(주),0,5,0.0
AS131833,기아(주),2,5,0.4
AS131828,(주)카카오 엔터프라이즈,0,5,0.0
AS4756,경찰대학교,0,5,0.0
AS152202,엔씨아이디에스,0,5,0.0
AS9571,(주)케이지이니시스,0,4,0.0
AS9577,교보증권(주),0,4,0.0
AS9630,에스케이증권주식회사,0,4,0.0
AS9634,신한투자증권 주식회사,0,4,0.0
AS9850,주식회사 한국경제티브이,0,4,0.0
AS7621,경기대학교,0,4,0.0
AS10187,정보통신정책연구원,0,4,0.0
AS17869,법원행정처,0,4,0.0
AS18295,에이비엘생명보험(주),0,4,0.0
AS18335,서울여자대학교,0,4,0.0
AS17614,금강대학교,0,4,0.0
AS10156,서울교육대학교,0,4,0.0
AS3784,포항공과대학교,0,4,0.0
AS10166,한국수자원공사,0,4,0.0
AS9847,한국증권금융(주),0,4,0.0
AS9869,신한이지손해보험 주식회사,0,4,0.0
AS9320,법원행정처,0,4,0.0
AS17600,한국환경공단,0,4,0.0
AS17609,신라대학교,0,4,0.0
AS23587,코리아크레딧뷰로,0,4,0.0
AS9573,케이알투자증권 주식회사,0,4,0.0
AS23975,연암공과대학교,0,4,0.0
AS18373,(주)국민은행,0,4,0.0
AS18029,대전보건대학교,0,4,0.0
AS18338,(주)다우데이타,0,4,0.0
AS38135,케이디비생명보험(주),0,4,0.0
AS38693,한국교통안전공단,0,4,0.0
AS45373,전문건설공제조합,0,4,0.0
